1429626653184|374|statement|connection 1|     create table person (         id varchar(50) not null,         address varchar(100),         name varchar(100),         primary key (id)     )|
1429630157452|40|rollback|connection 2||
1429630300583|82|statement|connection 2|insert into person (address, name, id) values (?, ?, ?)|insert into person (address, name, id) values ('Songling Road 169', 'Amos', '4028b8814cdc9b1f014cdc9b31000000')
1429630300887|301|commit|connection 2||
1429630315781|2|statement|connection 3|insert into person (address, name, id) values (?, ?, ?)|insert into person (address, name, id) values ('Songling Road 169', 'Amos', '4028b8814cdc9b1f014cdc9b6d000001')
1429630315836|54|commit|connection 3||
1429630318581|3|statement|connection 4|insert into person (address, name, id) values (?, ?, ?)|insert into person (address, name, id) values ('Songling Road 169', 'Amos', '4028b8814cdc9b1f014cdc9b77ef0002')
1429630318628|46|commit|connection 4||
1429630319320|3|statement|connection 5|insert into person (address, name, id) values (?, ?, ?)|insert into person (address, name, id) values ('Songling Road 169', 'Amos', '4028b8814cdc9b1f014cdc9b7ad10003')
1429630319371|50|commit|connection 5||
1429630319922|2|statement|connection 6|insert into person (address, name, id) values (?, ?, ?)|insert into person (address, name, id) values ('Songling Road 169', 'Amos', '4028b8814cdc9b1f014cdc9b7d2d0004')
1429630319963|40|commit|connection 6||
1429678900910|137|statement|connection 2|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429678901043|34|commit|connection 2||
1429678913862|2|statement|connection 3|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429678913868|0|commit|connection 3||
1429678946010|0|statement|connection 4|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429678946014|0|commit|connection 4||
1429678973473|52|statement|connection 2|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429678973498|1|commit|connection 2||
1429678993218|9|statement|connection 3|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429678993243|0|commit|connection 3||
1429679009573|2|statement|connection 4|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429679009583|2|commit|connection 4||
1429679035299|1|statement|connection 5|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429679035307|0|commit|connection 5||
1429679705481|62|statement|connection 2|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429679705523|1|commit|connection 2||
1429679717045|184|statement|connection 3|insert into person (address, name, id) values (?, ?, ?)|insert into person (address, name, id) values ('chu', 'amos', '4028b8814cdf8d05014cdf8d39dd0000')
1429679717092|46|commit|connection 3||
1429679728279|1|statement|connection 4|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429679728284|0|commit|connection 4||
